Date,Latitude,Longitude,Depth,Magnitude,Magnitude Type_MD,Magnitude Type_MH,Magnitude Type_ML,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWR,Magnitude Type_MWW,Status_Reviewed,Cluster
1965-06-02,-23.54,-179.917,2.587610897174922,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,1
1965-06-02,15.674,-46.712,-0.9389923308905802,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,-1
1965-06-05,-1.649,126.552,-0.5168078356520622,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-06-11,51.884,174.015,-0.5168078356520622,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-06-11,44.608,149.022,0.13866545360660523,2.587159956444221,0,0,0,0,1,0,0,0,0,0,0
1965-06-11,44.578,148.699,0.4702690994762197,3.000581296663715,0,0,0,0,1,0,0,0,0,0,0
1965-06-11,44.133,149.255,-0.09657539441802993,-0.9520106862444903,0,0,0,0,1,0,0,0,0,0,0
1965-06-11,44.112,149.539,-0.001780453857957312,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-06-11,44.299,149.032,-0.06770521944749161,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-06-12,44.167,149.87,-0.001780453857957312,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-06-12,43.775,149.448,0.0747027628396912,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-06-12,43.804,149.351,-0.001780453857957312,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-06-12,43.885,149.339,-0.001780453857957312,-0.9520106862444903,0,0,0,0,1,0,0,0,0,0,0
1965-06-12,-20.38,-68.944,1.0045359923737984,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,4
1965-06-13,41.705,143.727,0.0771497042610894,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,0
1965-06-13,37.718,29.378,-0.312731353622927,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-06-14,-39.902,45.55,-1.1346795570743498,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,-1
1965-06-15,-38.08,177.442,0.9354314231746657,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-06-15,-21.025,173.574,-0.312731353622927,0.8061302706376628,0,0,0,0,1,0,0,0,0,0,0
1965-06-17,32.052,87.784,-1.1346795570743498,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-06-20,44.505,149.218,0.23244143368315362,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-06-20,42.973,-126.652,-1.1346795570743498,-0.9520106862444903,0,0,0,0,1,0,0,0,0,0,4
1965-06-21,28.134,55.891,-0.312731353622927,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-06-22,7.175,123.613,0.12248922515619512,1.0409430729240485,0,0,0,0,1,0,0,0,0,0,0
1965-06-23,56.543,-152.948,-0.5168078356520622,1.4995893705174625,0,0,0,0,1,0,0,0,0,0,3
1965-06-24,7.034,126.25,-0.14466252700223597,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-06-27,-54.437,4.965,-1.1346795570743498,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,2
1965-06-27,60.281,-141.418,-0.7766486867831941,1.4995893705174625,0,0,0,0,1,0,0,0,0,0,3
1965-06-27,23.764,121.56,0.12248922515619512,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-06-28,-5.01,153.06,-0.312731353622927,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-06-30,-1.734,126.53,-0.14466252700223597,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-06-30,51.813,176.53,0.22409613956413657,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-07-01,-63.159,-163.707,-1.1346795570743498,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,-1
1965-07-02,52.99,-167.739,0.23244143368315362,4.175247016879356,0,0,0,0,1,0,0,0,0,0,3
1965-07-03,22.338,101.496,-0.001780453857957312,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-07-06,-22.567,172.939,-0.001780453857957312,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-07-06,38.384,22.545,-0.5168078356520622,1.0409430729240485,0,0,0,0,1,0,0,0,0,0,0
1965-07-06,46.591,152.467,0.23244143368315362,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-07-06,-4.408,155.062,2.494948221113971,1.0409430729240485,0,0,0,0,1,0,0,0,0,0,0
1965-07-07,-6.819,105.505,-0.001780453857957312,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-07-12,-28.428,-68.25,1.0945971299403638,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,4
1965-07-15,7.74,123.811,2.639180790713482,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-07-17,-9.72,159.888,-0.312731353622927,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-07-20,7.56,124.247,-0.3275460705786235,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-07-21,53.318,170.365,-0.18238571931338254,-0.9520106862444903,0,0,0,0,1,0,0,0,0,0,0
1965-07-25,1.813,99.276,1.0301157635722356,-0.9520106862444903,0,0,0,0,1,0,0,0,0,0,0
1965-07-25,41.278,146.682,-0.7766486867831941,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-07-25,51.472,175.894,-0.5122684917094233,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-07-28,-2.335,101.767,1.3027483733806204,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-07-29,51.05,-171.289,-0.4551393359101102,2.1617537343386948,0,0,0,0,1,0,0,0,0,0,3
1965-07-29,50.799,-171.607,-0.7766486867831941,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,3
1965-07-29,51.076,-171.466,-0.5168078356520622,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,3
1965-07-30,6.789,-72.907,1.4294941618469084,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,4
1965-08-01,-32.441,-178.803,0.23244143368315362,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,1
1965-08-02,-56.046,157.922,-1.1346795570743498,3.203005017045971,0,0,0,0,1,0,0,0,0,0,0
1965-08-03,-7.526,-81.179,-0.26611088303484526,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,4
1965-08-05,-5.213,151.701,0.5021230525639795,1.4995893705174625,0,0,0,0,1,0,0,0,0,0,0
1965-08-11,-15.449,166.98,-0.312731353622927,3.000581296663715,0,0,0,0,1,0,0,0,0,0,0
1965-08-11,-15.67,167.216,-0.14466252700223597,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-08-11,-15.685,167.097,-0.14466252700223597,2.3759982262451285,0,0,0,0,1,0,0,0,0,0,0
1965-08-11,-15.741,167.26,-0.14466252700223597,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-08-11,-15.861,167.092,-0.14466252700223597,3.794044102451635,0,0,0,0,1,0,0,0,0,0,0
1965-08-12,-15.817,167.399,-0.14466252700223597,2.3759982262451285,0,0,0,0,1,0,0,0,0,0,0
1965-08-12,-5.36,152.116,0.34959164312469376,2.1617537343386948,0,0,0,0,1,0,0,0,0,0,0
1965-08-12,-15.931,167.392,-0.001780453857957312,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-08-13,-15.97,167.439,-0.14466252700223597,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-08-13,-15.995,166.96,-0.312731353622927,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,0
1965-08-13,-15.871,166.96,-0.312731353622927,3.402674587649325,0,0,0,0,1,0,0,0,0,0,0
1965-08-13,-16.198,167.607,-0.001780453857957312,3.000581296663715,0,0,0,0,1,0,0,0,0,0,0
1965-08-13,-16.801,167.602,-0.001780453857957312,0.8061302706376628,0,0,0,0,1,0,0,0,0,0,0
1965-08-13,-6.38,148.543,-0.14466252700223597,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-08-14,-15.819,166.794,-0.5168078356520622,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-08-14,-11.385,166.332,-0.001780453857957312,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-08-16,-0.53,-19.951,-0.7766486867831941,0.8061302706376628,0,0,0,0,1,0,0,0,0,0,-1
1965-08-17,4.872,95.836,0.5774005528835094,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,0
